,number,value,datetime_start,datetime_complete,params_activation_1,params_activation_10,params_activation_2,params_activation_3,params_activation_4,params_activation_5,params_activation_6,params_activation_7,params_activation_8,params_activation_9,params_dropout_10,params_dropout_2,params_dropout_3,params_dropout_4,params_dropout_5,params_dropout_6,params_dropout_7,params_dropout_8,params_dropout_9,params_layer_1,params_learning_rate,params_num_layers,params_units_10,params_units_2,params_units_3,params_units_4,params_units_5,params_units_6,params_units_7,params_units_8,params_units_9,state
47,47,0.9324975609779358,2020-06-18 19:24:21.670628,2020-06-18 19:28:46.293059,linear,elu,relu,selu,elu,linear,relu,linear,relu,relu,0.3010232970918119,0.4982809371713103,0.21171740000196648,0.0264232088824512,0.4616854776073877,0.2828925276958747,0.0795997787452579,0.4204662497493039,0.4980790140397582,128,3.649687220152643e-05,10,512.0,512,128.0,256.0,256.0,128.0,512.0,256.0,256.0,COMPLETE
48,48,0.915029764175415,2020-06-18 19:28:46.326905,2020-06-18 19:33:01.300819,linear,,elu,selu,elu,linear,relu,linear,relu,relu,,0.4445642678469138,0.16489091900301378,0.07568503546790999,0.18643712453785327,0.3095506133104398,0.021912623007486323,0.3924749917967543,0.38977933040417306,512,1.6565688567351044e-05,9,,512,128.0,256.0,256.0,128.0,256.0,256.0,256.0,COMPLETE
49,49,0.937772274017334,2020-06-18 19:33:01.317900,2020-06-18 19:37:19.997220,linear,,relu,selu,elu,linear,relu,linear,relu,relu,,0.4621269415832574,0.13654782601310364,0.0814168096924305,0.2216751433826131,0.19014186150804996,0.13167799160804405,0.43757316241873373,0.43541902080987643,512,2.5335305881983747e-05,9,,512,128.0,512.0,256.0,128.0,128.0,128.0,256.0,COMPLETE
50,50,0.9086176156997681,2020-06-18 19:37:20.015078,2020-06-18 19:41:43.273009,linear,relu,relu,relu,elu,linear,relu,linear,relu,selu,0.4680270844386528,0.46677151353454627,0.14151719327629173,0.02226630501775089,0.004485381803393723,0.20551048133097566,0.14188983042944503,0.4471807955259222,0.328083049858664,512,6.293321402983482e-05,10,512.0,512,128.0,512.0,256.0,128.0,128.0,128.0,128.0,COMPLETE
51,51,0.9385786056518555,2020-06-18 19:41:43.290963,2020-06-18 19:46:02.449329,linear,,relu,linear,elu,linear,relu,linear,relu,relu,,0.39990409726855697,0.19284646092255733,0.0872786731397665,0.2251175609637067,0.2504337082623742,0.08529739775047254,0.4962951696494403,0.3876384581482938,512,2.5212611304058113e-05,9,,512,128.0,512.0,256.0,128.0,128.0,128.0,512.0,COMPLETE
52,52,0.9382269382476807,2020-06-18 19:46:02.469334,2020-06-18 19:50:21.443241,linear,,relu,linear,elu,linear,relu,linear,relu,relu,,0.4982365507056501,0.1790927231981309,0.08835267121014016,0.13709855642111718,0.40669200644916975,0.09234596604931417,0.3044087909695484,0.3591498872713798,512,2.6927069509959144e-05,9,,512,128.0,512.0,256.0,128.0,128.0,128.0,512.0,COMPLETE
53,53,0.9106259942054749,2020-06-18 19:50:21.476712,2020-06-18 19:54:49.258216,linear,elu,relu,linear,elu,linear,relu,linear,relu,relu,0.4530488935822303,0.07701666249125705,0.18947328674393005,0.1216962030827026,0.13986693593543065,0.43260117584079216,0.09978541721196538,0.31019321813485345,0.2616057351540187,512,3.115071099783822e-05,10,128.0,512,128.0,512.0,256.0,128.0,128.0,128.0,512.0,COMPLETE
54,54,0.9223770499229431,2020-06-18 19:54:49.277311,2020-06-18 19:59:05.618538,linear,,relu,linear,elu,linear,relu,linear,relu,elu,,0.49955507524612713,0.09040613367636344,0.08572745104075491,0.05836850467880636,0.25497051390476777,0.19401170044204963,0.20092975514840622,0.0006469784746639118,512,0.00011302094722715004,9,,512,128.0,512.0,256.0,128.0,128.0,128.0,512.0,COMPLETE
55,55,0.9188737869262695,2020-06-18 19:59:05.637687,2020-06-18 20:03:23.589601,linear,,relu,linear,elu,linear,relu,linear,relu,selu,,0.44037261537168637,0.13295323204559747,0.0953345857469233,0.30624582921415,0.3797072057648967,0.050695050598994054,0.4526479824104394,0.1947955926521945,256,4.223672431825781e-05,9,,512,128.0,512.0,256.0,128.0,128.0,128.0,512.0,COMPLETE
56,56,0.9434217214584351,2020-06-18 20:03:23.609250,2020-06-18 20:07:52.373895,linear,selu,relu,linear,elu,linear,relu,linear,relu,relu,0.43377277017943133,0.45834579304621176,0.20214636121010582,0.13847113009081813,0.21312873496871235,0.33530504087548707,0.11559123444807062,0.2618908919792556,0.3587291059530903,512,1.5691774834712003e-05,10,512.0,512,128.0,512.0,256.0,128.0,128.0,128.0,512.0,COMPLETE
