A2A,A1,hERG
0.6522689,0.6353067,0.34412175
0.4660551,0.48485193,0.30874807
0.6394965,0.64017993,0.106012285
0.46541023,0.46846977,0.2849207
0.61516404,0.6249737,0.3330263
0.4676523,0.48800018,0.28983623
0.5914895,0.5870975,0.34421325
0.5956784,0.6110045,0.34496176
0.6469092,0.6675966,0.26422685
0.6749232,0.63884443,0.2655937
0.6466858,0.7913374,0.2725066
0.49075964,0.5291934,0.28202343
0.48303598,0.48423693,0.24134982
0.6600809,0.7247161,0.24924529
0.6132344,0.6649347,0.37945038
0.60100335,0.5986797,0.27395982
0.57948256,0.6173192,0.2571875
0.55558825,0.5321337,0.31605214
0.66741174,0.6934211,0.2663281
0.50274694,0.55353606,0.39661288
0.73894316,0.75450265,0.24486351
0.8357169,0.6920308,0.38726413
0.62185335,0.64500093,0.3424443
0.5568258,0.5238709,0.27152914
0.5036634,0.61357635,0.36403668
0.60196906,0.5643508,0.28567624
0.48206988,0.5019702,0.34436297
0.4823682,0.50108135,0.35430747
0.47472063,0.52768046,0.2662815
0.4990746,0.5261147,0.33321887
0.51082814,0.5220826,0.29820192
0.6278664,0.69514126,0.24656332
0.56419307,0.5824367,0.29485542
0.56102294,0.6625779,0.30328745
0.66131324,0.7326737,0.35917836
0.5713785,0.6371203,0.3135755
0.6907872,0.69573367,0.32136148
0.659896,0.63792413,0.2826321
0.65243,0.66000384,0.3579759
0.635529,0.70413333,0.3054152
0.6612688,0.63298965,0.32154673
0.78330076,0.6402482,0.38156867
0.48370913,0.56428564,0.31016833
0.5236553,0.5987768,0.31774378
0.52759385,0.5303514,0.32644457
0.47908294,0.48226005,0.34150374
0.5768081,0.600032,0.26414478
0.4728769,0.4918319,0.40681112
0.5183874,0.64918655,0.24594802
0.5217832,0.49160567,0.23703194
0.5919602,0.49568364,0.40097243
0.53279126,0.6623703,0.23856056
0.633681,0.66071075,0.15121448
0.5975098,0.667793,0.252815
0.52504975,0.64978397,0.2937904
0.5902159,0.60184693,0.360717
0.93956816,0.6653997,0.17498183
0.6069393,0.6684958,0.3644023
0.6351666,0.6083571,0.27194846
0.6275509,0.59419847,0.2662735
0.47640452,0.49729145,0.3043205
0.4823106,0.58174866,0.38180393
0.6200834,0.587701,0.3455581
0.7150006,0.9438264,0.28177738
0.52764064,0.5009928,0.36030483
0.66815466,0.7472128,0.2803278
0.6572983,0.7401631,0.31326348
0.49196643,0.47638083,0.3681668
0.69858295,0.6878118,0.44223166
0.76904035,0.747257,0.23495203
0.609667,0.8775272,0.36681736
0.6017633,0.6599541,0.3473972
0.5898938,0.6274597,0.32362366
0.6955175,0.6937685,0.25034916
0.52640337,0.5820693,0.29260385
0.95471,0.8864994,0.24897748
0.6184664,0.59268993,0.3674577
0.81830007,0.6743479,0.29090667
0.64961267,0.65876865,0.2787035
0.5938054,0.68817896,0.33785182
0.8084146,0.81005,0.26844156
0.6108312,0.6051822,0.27842188
0.6332919,0.6323393,0.21233702
0.50844944,0.5197682,0.3031512
0.7314257,0.61015964,0.31261277
0.8241202,0.7899363,0.43308955
